,id,url,subtype,transaction,owner,sell-type,provider,title,location,features,description,price,price2,m2,rooms,amueblado,parking,distrito,temporalidad,cambio_precio,baños
3191,id10294000000722,https://www.habitaclia.com/alquiler-piso-con_ascensor_calefaccion_y_aire_acondicionado_sant_gervasi_bonanova-barcelona-i10294000000722.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,10294-1,"Alquiler Piso Carrer de muntaner. Piso con ascensor, calefacción y aire acondicionado",Barcelona - Sant Gervasi - Bonanova,"45m2 - 1 habitacion - 1 baño - 31,11€/m2",Os presentamos un fantástico dúplex exterior. La vivienda se constituye en la primera planta de un enorme salón - comedo...,1.400 €,1400,45,1,No,No,Sarria Sant Gervasi,Indefinido,No,1
3192,id23706004390690,https://www.habitaclia.com/alquiler-atico-precioso_sant_gervasi_galvany-barcelona-i23706004390690.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,PENTHOUSE,RENT,PROFESSIONAL,SECOND_HAND,23706-1,Alquiler Ático en Sant Gervasi - Galvany. Precioso,Barcelona - Sant Gervasi - Galvany,"225m2 - 4 habitaciones - 4 baños - 22,00€/m2","Ático dúplex cerca del Turo Parc. Destaca por su buena ubicación, su diseño, su luz y su salón comedor con salida a una...",4.950 €,4950,225,4,No,No,Sarria Sant Gervasi,Indefinido,No,4
3193,id26177004397958,https://www.habitaclia.com/alquiler-piso-con_5_habitaciones_con_parking_calefaccion_y_aire_acondici_sant_gervasi_galvany-barcelona-i26177004397958.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,26177-1,"Alquiler Piso Carrer de la reina victòria. Piso con 5 habitaciones con parking, calefacción y aire acondici",Barcelona - Sant Gervasi - Galvany,"149m2 - 5 habitaciones - 2 baños - 19,46€/m2",OPORTUNIDAD PISO EN ZONA PRIVILEGIADA EN TURÓ PARC Edificio señorial en una situación privilegiada de Sant Gervasi -...,"Oportunidad
2.900 €
ha bajado 100 €",2900,149,5,No,Si,Sarria Sant Gervasi,Indefinido,Si,2
3195,id10344003630698,https://www.habitaclia.com/alquiler-piso-principal_amplio_y_luminoso_en_diagonal_francesc_macia_sant_gervasi_galvany-barcelona-i10344003630698.htm?pag=1&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,10344-1,Alquiler Piso en Sant Gervasi - Galvany. Principal amplio y luminoso en diagonal-francesc macià,Barcelona - Sant Gervasi - Galvany,"191m2 - 4 habitaciones - 2 baños - 15,71€/m2","Amplio principal con altura y bien orientado en preciosa finca regia de 1930, en la exclusiva zona de Francesc Macià...",3.000 €,3000,191,4,No,No,Sarria Sant Gervasi,Indefinido,No,2
3196,id42180000000082,https://www.habitaclia.com/alquiler-piso-precioso_duplex_de_250m2_en_sarria_tres_torres_con_6_dormitori_tres_torres-barcelona-i42180000000082.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,42180-1,Alquiler Piso Carrer de demestre. Precioso duplex de 250m2 en sarrià - tres torres con 6 dormitori,Barcelona - Tres Torres,"247m2 - 6 habitaciones - 4 baños - 16,17€/m2","Precioso duplex de 250m2 en Sarrià - Tres Torres con parking, trastero y zona comunitaria. Un piso listo para entrar...",3.995 €,3995,247,6,No,No,Sarria Sant Gervasi,Indefinido,No,4
3197,id3868000000004,https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_calefaccion_y_aire_acondic_calle_de_balmes_228_sant_gervasi_galvany-barcelona-i3868000000004.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,3868-1,"Alquiler Piso en Carrer de balmes 228. Piso con 4 habitaciones con ascensor, calefacción y aire acondic",Barcelona - Sant Gervasi - Galvany,"150m2 - 4 habitaciones - 2 baños - 12,00€/m2","Amplio piso a reformar (150 m2), en finca regia , consta de 4 hab. (3 dobles), 2 baños y 1 aseo y gran terraza de 20 m...",1.800 €,1800,150,4,No,No,Sarria Sant Gervasi,Indefinido,No,2
3198,id28787004404347,https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_putget_farro-barcelona-i28787004404347.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,28787-1,"Alquiler Piso Carrer de saragossa. Piso con 3 habitaciones con ascensor, calefacción y aire acondic",Barcelona - Putget - Farró,"85m2 - 3 habitaciones - 1 baño - 17,65€/m2","Ubicado en zona muy tranquila pero muy bien servida, con FFCC, parada Padua muy cerca, tocando visa de acceso importante...","Oportunidad
1.500 €
ha bajado 50 €",1500,85,3,No,No,Sarria Sant Gervasi,Indefinido,Si,1
3199,id44404000000003,https://www.habitaclia.com/alquiler-piso-de_lujo_reformado_como_nuevo_en_la_mejor_zona_de_bcn_jun_sant_gervasi_galvany-barcelona-i44404000000003.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,44404-1,"Alquiler Piso Carrer de johann sebastian bach. Piso de lujo reformado, como nuevo, en la mejor zona de bcn, jun",Barcelona - Sant Gervasi - Galvany,"180m2 - 5 habitaciones - 3 baños - 20,00€/m2",Vivienda totalmente reformada de lujo para vivir en la zona noble de Barcelona rodeada de zonas ajardinadas y muy bien...,"Oportunidad
3.600 €
ha bajado 200 €",3600,180,5,No,Si,Sarria Sant Gervasi,Indefinido,Si,3
3200,id41315000000034,https://www.habitaclia.com/alquiler-piso-ronda_general_mitre_via_augusta_2_habitaciones_tres_torres-barcelona-i41315000000034.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,41315-1,Alquiler Piso Ronda del general mitre. Ronda general mitre- via augusta 2 habitaciones.,Barcelona - Tres Torres,"65m2 - 2 habitaciones - 2 baños - 20,77€/m2","Piso situado en la Ronda General Mitre, por debajo de Vía Augusta. Finca con portero y ascensor. Da a la parte interior....","1.350 €
ha bajado 50 €",1350,65,2,No,No,Sarria Sant Gervasi,Indefinido,Si,2
3201,id4025000000138,https://www.habitaclia.com/alquiler-piso-3_habs_2_banos_todo_exterior_vistas_sant_gervasi_galvany-barcelona-i4025000000138.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,4025-1,"Alquiler Piso De gal·la placídia. 3 habs, 2 baños, todo exterior, vistas",Barcelona - Sant Gervasi - Galvany,"100m2 - 3 habitaciones - 2 baños - 25,00€/m2","Estupendo piso de 100 m2, todo exterior, muy alto, a tres vientos, con vistas impresionantes de casi toda Barcelona. Z...","Oportunidad
2.500 €",2500,100,3,Si,No,Sarria Sant Gervasi,Indefinido,No,2
3202,id36506000000013,https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_con_ascensor_parking_calefaccion_y_air_via_augusta_217_sant_gervasi_galvany-barcelona-i36506000000013.htm?pag=2&f=&geo=d&coddists=500&from=list&lo=55,FLAT,RENT,PROFESSIONAL,SECOND_HAND,36506-1,"Alquiler Piso en Via augusta 217. Piso con 2 habitaciones con ascensor, parking, calefacción y air",Barcelona - Sant Gervasi - Galvany,"100m2 - 2 habitaciones - 2 baños - 20,00€/m2","Disponible para entrar a vivir el Superficie 100m2 Ven a visitar tu nuevo hogar, te mostramos una vivie...","Oportunidad
2.000 €",2000,100,2,No,Si,Sarria Sant Gervasi,Indefinido,No,2
